image_1,image_2,distance
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book74.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes5.jpg,0.861
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/guitar2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/balloon2.jpg,0.773
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train19.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fan6.jpg,0.863
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/waterbottle2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck24.jpg,0.806
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/balloon2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/guitar2.jpg,0.773
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book74.jpg,0.861
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fan.jpg,0.879
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/waterbottle.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck.jpg,0.815
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fan6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train19.jpg,0.863
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball67.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car23.jpg,0.819
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blueberries6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk16.jpg,0.869
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.886
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car23.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball67.jpg,0.819
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,0.706
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book81.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci7.jpg,0.938
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blueberries5.jpg,0.85
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe19.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper14.jpg,0.791
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car.jpg,0.834
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper14.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe19.jpg,0.791
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.834
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book81.jpg,0.938
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,0.706
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk16.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blueberries6.jpg,0.869
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci.jpg,0.886
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blueberries5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk.jpg,0.85
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow23.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog23.jpg,0.698
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair7.jpg,0.649
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.641
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,0.912
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog23.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow23.jpg,0.698
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote.jpg,0.641
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,0.741
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball60.jpg,0.77
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog.jpg,0.673
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe17.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book76.jpg,0.81
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup3.jpg,0.649
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow.jpg,0.673
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball60.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote2.jpg,0.77
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.912
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup.jpg,0.741
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book76.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe17.jpg,0.81
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book77.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys8.jpg,0.79
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water29.jpg,0.671
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dolly3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy.jpg,0.503
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book77.jpg,0.79
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ducky7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wubby2.jpg,0.659
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy18.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dolly5.jpg,0.721
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush.jpg,0.735
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wubby3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ducky8.jpg,0.723
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,0.786
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ducky8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wubby3.jpg,0.723
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.786
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dolly5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy18.jpg,0.721
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wubby2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ducky7.jpg,0.659
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water29.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush7.jpg,0.671
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dolly3.jpg,0.503
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,0.735
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup19.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book78.jpg,0.771
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/drum7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train21.jpg,0.685
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks.jpg,0.936
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/broom.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/plate.jpg,0.831
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book78.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup19.jpg,0.771
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair.jpg,0.936
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/drum2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train.jpg,0.8
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair15.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks20.jpg,0.851
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.805
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/plate5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/broom3.jpg,0.74
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/drum7.jpg,0.685
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup.jpg,0.805
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks20.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair15.jpg,0.851
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/plate.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/broom.jpg,0.831
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/drum2.jpg,0.8
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/broom3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/plate5.jpg,0.74
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball61.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes6.jpg,0.892
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone16.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk13.jpg,0.703
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bird.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty.jpg,0.739
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball61.jpg,0.892
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/giraffe.jpg,0.705
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty15.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bird4.jpg,0.771
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone.jpg,0.857
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/giraffe10.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant22.jpg,0.629
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes2.jpg,0.867
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant22.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/giraffe10.jpg,0.629
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.867
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bird4.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty15.jpg,0.771
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/giraffe.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant.jpg,0.705
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk13.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone16.jpg,0.703
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bird.jpg,0.739
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk.jpg,0.857
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/crib2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair8.jpg,0.703
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon18.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car21.jpg,0.854
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.862
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk.jpg,0.897
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/crib2.jpg,0.703
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,0.862
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car3.jpg,0.834
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper13.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book79.jpg,0.661
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/crib.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,0.67
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk14.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys9.jpg,0.791
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon18.jpg,0.854
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/crib.jpg,0.67
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book79.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper13.jpg,0.661
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,0.897
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,0.834
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys9.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk14.jpg,0.791
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball63.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone17.jpg,0.867
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blanket3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/piano8.jpg,0.78
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tablet.jpg,0.835
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone17.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball63.jpg,0.867
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/pacifier.jpg,0.538
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tablet3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle25.jpg,0.802
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/piano.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blanket.jpg,0.818
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/pacifier4.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote3.jpg,0.851
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone8.jpg,0.883
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/pacifier4.jpg,0.851
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball2.jpg,0.883
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle25.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tablet3.jpg,0.802
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/pacifier.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote.jpg,0.538
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/piano8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blanket3.jpg,0.78
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tablet.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,0.835
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blanket.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/piano.jpg,0.818
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/duck11.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kangaroo2.jpg,0.638
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippy2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book80.jpg,0.844
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/owl.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bear.jpg,0.806
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kangaroo2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/duck11.jpg,0.638
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bear.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/owl.jpg,0.806
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippy.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.84
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/owl9.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bear14.jpg,0.636
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/duck.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kangaroo.jpg,0.664
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car22.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes7.jpg,0.782
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book80.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippy2.jpg,0.844
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kangaroo.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/duck.jpg,0.664
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bear14.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/owl9.jpg,0.636
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippy.jpg,0.84
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car22.jpg,0.782
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wagon2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle24.jpg,0.706
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sandbox2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bike4.jpg,0.742
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair.jpg,0.849
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle24.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wagon2.jpg,0.706
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/slide.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/table.jpg,0.843
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair16.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train22.jpg,0.669
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bike.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sandbox.jpg,0.914
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/table6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/slide7.jpg,0.606
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wagon.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,0.773
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/slide7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/table6.jpg,0.606
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wagon.jpg,0.773
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train22.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair16.jpg,0.669
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/table.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/slide.jpg,0.843
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bike4.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sandbox2.jpg,0.742
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train.jpg,0.849
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sandbox.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bike.jpg,0.914
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball62.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup20.jpg,0.816
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair9.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe18.jpg,0.604
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair.jpg,0.817
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fish.jpg,0.696
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup20.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball62.jpg,0.816
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,0.817
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon19.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair17.jpg,0.769
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fish14.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy25.jpg,0.804
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe18.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair9.jpg,0.604
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair17.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon19.jpg,0.769
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fish.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy.jpg,0.696
