image_1,image_2,distance
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat3.jpg,0.936
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book61.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup2.jpg,0.892
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book61.jpg,0.892
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kittycat4.jpg,0.573
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup.jpg,0.843
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck22.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat6.jpg,0.773
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kittycat3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog.jpg,0.544
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck7.jpg,0.936
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy14.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow19.jpg,0.741
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe11.jpg,0.769
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks2.jpg,0.769
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.883
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow19.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy14.jpg,0.741
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller.jpg,0.769
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,0.705
