target,distractor,distance
car,spoon,0.849
keys,milk,0.849
ball,phone,0.849
blanket,piano,0.849
bottle,tablet,0.85
phone,ball,0.85
remote,pacifier,0.85
tablet,bottle,0.85
piano,blanket,0.851
pacifier,remote,0.851
ball,phone,0.851
remote,pacifier,0.851
phone,ball,0.853
bottle,tablet,0.853
pacifier,remote,0.853
piano,blanket,0.853
tablet,bottle,0.854
blanket,piano,0.854
duck,kangaroo,0.856
sippy,book,0.856
owl,bear,0.856
kangaroo,duck,0.856
bear,owl,0.857
sippy,book,0.857
owl,bear,0.857
duck,kangaroo,0.857
car,shoes,0.86
book,sippy,0.86
kangaroo,duck,0.861
bear,owl,0.861
book,sippy,0.861
shoes,car,0.861
wagon,bottle,0.862
sandbox,bike,0.862
train,chair,0.863
bottle,wagon,0.863
slide,table,0.863
chair,train,0.863
bike,sandbox,0.864
table,slide,0.864
wagon,bottle,0.864
slide,table,0.864
bottle,wagon,0.865
train,chair,0.865
table,slide,0.867
bike,sandbox,0.867
chair,train,0.867
sandbox,bike,0.867
ball,cup,0.868
highchair,shoe,0.868
spoon,chair,0.869
doggy,fish,0.869
cup,ball,0.875
chair,spoon,0.875
spoon,chair,0.879
fish,doggy,0.879
shoe,highchair,0.879
chair,spoon,0.879
fish,doggy,0.881
doggy,fish,0.881
bunny,duck,0.883
pacifier,highchair,0.883
ball,flower,0.883
duck,bunny,0.883
puzzle,water,0.886
flower,ball,0.886
highchair,paci,0.887
water,puzzle,0.887
bunny,duck,0.888
puzzle,water,0.888
duck,bunny,0.892
ball,flower,0.892
water,puzzle,0.892
highchair,pacifier,0.892
flower,ball,0.896
paci,highchair,0.896
dog,cat,0.897
ball,spoon,0.897
book,hat,0.9
cat,dog,0.9
pacifier,water,0.901
hat,book,0.901
spoon,ball,0.902
water,pacifier,0.902
dog,cat,0.905
pacifier,water,0.905
cat,dog,0.907
book,hat,0.907
water,pacifier,0.907
spoon,ball,0.907
hat,book,0.911
ball,spoon,0.911
bottle,diaper,0.912
cup,book,0.912
lion,frog,0.914
block,ball,0.914
diaper,bottle,0.915
frog,lion,0.915
lion,frog,0.915
bottle,diaper,0.915
ball,block,0.917
book,cup,0.917
diaper,bottle,0.917
frog,lion,0.917
ball,block,0.917
block,ball,0.917
ball,shoe,0.927
spoon,blocks,0.927
book,phone,0.934
shoe,ball,0.934
milk,paci,0.936
phone,book,0.936
blocks,spoon,0.936
paci,milk,0.936
ball,shoe,0.938
milk,paci,0.938
shoe,ball,0.95
book,phone,0.95
paci,milk,0.95
blocks,spoon,0.95
phone,book,
spoon,blocks,
