target,distractor,distance
book83,cup21,0.934
truck7,hat3,0.936
hat3,truck7,0.936
chair,blocks,0.936
blocks,chair,0.936
book81,paci7,0.938
paci7,book81,0.938
cat,book7,0.95
book7,cat,0.95
puzzle,water,0.95
water,puzzle,0.95
shoe2,blocks2,
blocks2,shoe2,
